name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,time_per_query
"BM_batching_bplus_4/22",12549152,56.2338,56.2526,ns,,7.11079e+07,,,,1.40631e-08
"BM_batching_bplus_4/23",10116721,65.9234,65.9448,ns,,6.06568e+07,,,,1.64862e-08
"BM_batching_bplus_4/24",5164856,140.999,141.049,ns,,2.83589e+07,,,,3.52622e-08
"BM_batching_bplus_4/25",3251227,207.598,207.657,ns,,1.92625e+07,,,,5.19142e-08
"BM_batching_bplus_4/26",2920246,237.131,237.21,ns,,1.68627e+07,,,,5.93026e-08
"BM_batching_bplus_4/27",2224485,313.885,313.984,ns,,1.27395e+07,,,,7.84961e-08
"BM_batching_bplus_4/28",1837636,372.702,372.806,ns,,1.07294e+07,,,,9.32015e-08
"BM_batching_bplus_4/29",1690785,406.62,406.707,ns,,9.83509e+06,,,,1.01677e-07
"BM_batching_bplus_4/30",1562252,447.328,447.379,ns,,8.94097e+06,,,,1.11845e-07
"BM_batching_bplus_8/1",46789400,14.8645,14.8653,ns,,5.38165e+08,,,,1.85816e-09
"BM_batching_bplus_8/2",59960438,11.5787,11.5801,ns,,6.90843e+08,,,,1.44751e-09
"BM_batching_bplus_8/3",23976682,50.1793,50.1855,ns,,1.59409e+08,,,,6.27319e-09
"BM_batching_bplus_8/4",10000000,60.3719,60.3799,ns,,1.32494e+08,,,,7.54748e-09
"BM_batching_bplus_8/5",11617211,49.5219,49.5286,ns,,1.61523e+08,,,,6.19108e-09
"BM_batching_bplus_8/6",10989914,58.6057,58.6111,ns,,1.36493e+08,,,,7.32639e-09
"BM_batching_bplus_8/7",9429127,70.8335,70.8441,ns,,1.12924e+08,,,,8.85552e-09
"BM_batching_bplus_8/8",10464374,70.2707,70.2811,ns,,1.13829e+08,,,,8.78514e-09
"BM_batching_bplus_8/9",10419875,67.0982,67.1076,ns,,1.19211e+08,,,,8.38845e-09
"BM_batching_bplus_8/10",10559219,66.0518,66.0603,ns,,1.21101e+08,,,,8.25754e-09
"BM_batching_bplus_8/11",9305833,74.9561,74.9652,ns,,1.06716e+08,,,,9.37065e-09
"BM_batching_bplus_8/12",9212396,75.088,75.0982,ns,,1.06527e+08,,,,9.38728e-09
"BM_batching_bplus_8/13",9225439,75.2996,75.3101,ns,,1.06227e+08,,,,9.41377e-09
"BM_batching_bplus_8/14",9321481,75.1485,75.1581,ns,,1.06442e+08,,,,9.39476e-09
"BM_batching_bplus_8/15",7072773,100.043,100.057,ns,,7.99547e+07,,,,1.25071e-08
"BM_batching_bplus_8/16",7080616,98.3465,98.3587,ns,,8.1335e+07,,,,1.22948e-08
"BM_batching_bplus_8/17",7122073,97.7912,97.8039,ns,,8.17963e+07,,,,1.22255e-08
"BM_batching_bplus_8/18",7120277,99.81,99.8232,ns,,8.01417e+07,,,,1.24779e-08
"BM_batching_bplus_8/19",6179587,114.276,114.29,ns,,6.99976e+07,,,,1.42862e-08
"BM_batching_bplus_8/20",6117598,115.508,115.524,ns,,6.92498e+07,,,,1.44405e-08
"BM_batching_bplus_8/21",6006246,116.558,116.571,ns,,6.86279e+07,,,,1.45713e-08
"BM_batching_bplus_8/22",5938191,117.648,117.661,ns,,6.79921e+07,,,,1.47076e-08
"BM_batching_bplus_8/23",5052279,137.52,137.535,ns,,5.81669e+07,,,,1.71919e-08
"BM_batching_bplus_8/24",3029369,234.512,234.534,ns,,3.41102e+07,,,,2.93168e-08
"BM_batching_bplus_8/25",2405902,288.477,288.507,ns,,2.7729e+07,,,,3.60634e-08
"BM_batching_bplus_8/26",2139231,332.269,332.295,ns,,2.4075e+07,,,,4.15369e-08
"BM_batching_bplus_8/27",1678276,417.523,417.564,ns,,1.91587e+07,,,,5.21955e-08
"BM_batching_bplus_8/28",1378861,467.733,467.692,ns,,1.71053e+07,,,,5.84615e-08
"BM_batching_bplus_8/29",1391194,503.134,503.149,ns,,1.58999e+07,,,,6.28936e-08
"BM_batching_bplus_8/30",1266334,541.2,541.219,ns,,1.47814e+07,,,,6.76524e-08
"BM_batching_bplus_16/1",23730754,29.3816,29.3822,ns,,5.44548e+08,,,,1.83639e-09
"BM_batching_bplus_16/2",26054350,26.2026,26.2044,ns,,6.10585e+08,,,,1.63777e-09
"BM_batching_bplus_16/3",6966898,75.1219,75.1168,ns,,2.13002e+08,,,,4.6948e-09
"BM_batching_bplus_16/4",8032952,72.6121,72.6162,ns,,2.20337e+08,,,,4.53851e-09
"BM_batching_bplus_16/5",7528224,104.29,104.293,ns,,1.53413e+08,,,,6.51834e-09
"BM_batching_bplus_16/6",5806110,117.813,117.819,ns,,1.35801e+08,,,,7.3637e-09
"BM_batching_bplus_16/7",5124611,140.749,140.76,ns,,1.13669e+08,,,,8.79748e-09
"BM_batching_bplus_16/8",5110164,133.524,133.533,ns,,1.19821e+08,,,,8.34578e-09
"BM_batching_bplus_16/9",5267897,132.253,132.261,ns,,1.20973e+08,,,,8.26629e-09
"BM_batching_bplus_16/10",5280933,131.209,131.22,ns,,1.21933e+08,,,,8.20123e-09
"BM_batching_bplus_16/11",4156017,168.983,168.994,ns,,9.46781e+07,,,,1.05621e-08
"BM_batching_bplus_16/12",4116105,169.84,169.853,ns,,9.41989e+07,,,,1.06158e-08
"BM_batching_bplus_16/13",4161638,168.853,168.86,ns,,9.47531e+07,,,,1.05537e-08
"BM_batching_bplus_16/14",4091126,168.786,168.8,ns,,9.47867e+07,,,,1.055e-08
"BM_batching_bplus_16/15",3545740,196.289,196.303,ns,,8.15068e+07,,,,1.22689e-08
"BM_batching_bplus_16/16",3554298,196.469,196.484,ns,,8.14317e+07,,,,1.22802e-08
"BM_batching_bplus_16/17",3554524,196.814,196.828,ns,,8.12894e+07,,,,1.23017e-08
"BM_batching_bplus_16/18",3473646,202.191,202.203,ns,,7.91283e+07,,,,1.26377e-08
"BM_batching_bplus_16/19",2782168,252.475,252.489,ns,,6.3369e+07,,,,1.57806e-08
"BM_batching_bplus_16/20",2697372,256.578,256.597,ns,,6.23546e+07,,,,1.60373e-08
"BM_batching_bplus_16/21",2707871,259.374,259.387,ns,,6.1684e+07,,,,1.62117e-08
"BM_batching_bplus_16/22",2694793,259.768,259.781,ns,,6.15904e+07,,,,1.62363e-08
"BM_batching_bplus_16/23",2327590,293.529,293.551,ns,,5.4505e+07,,,,1.8347e-08
"BM_batching_bplus_16/24",1656684,423.364,423.366,ns,,3.77923e+07,,,,2.64604e-08
"BM_batching_bplus_16/25",1542330,454.413,454.432,ns,,3.52088e+07,,,,2.8402e-08
"BM_batching_bplus_16/26",1393967,498.636,498.679,ns,,3.20848e+07,,,,3.11674e-08
"BM_batching_bplus_16/27",1110892,620.046,620.067,ns,,2.58037e+07,,,,3.87542e-08
"BM_batching_bplus_16/28",1032535,681.316,681.346,ns,,2.34829e+07,,,,4.25841e-08
"BM_batching_bplus_16/29",981279,707.992,708.016,ns,,2.25984e+07,,,,4.4251e-08
"BM_batching_bplus_16/30",929242,747.413,747.447,ns,,2.14062e+07,,,,4.67154e-08
"BM_batching_bplus_32/1",7446020,93.7684,93.6322,ns,,3.41763e+08,,,,2.92601e-09
"BM_batching_bplus_32/2",8624638,91.3822,91.2691,ns,,3.50611e+08,,,,2.85216e-09
"BM_batching_bplus_32/3",4317162,167.652,167.407,ns,,1.91151e+08,,,,5.23147e-09
"BM_batching_bplus_32/4",3045085,316.392,315.832,ns,,1.0132e+08,,,,9.86976e-09
"BM_batching_bplus_32/5",2668132,280.823,280.734,ns,,1.13987e+08,,,,8.77294e-09
"BM_batching_bplus_32/6",2459397,269.556,268.803,ns,,1.19046e+08,,,,8.4001e-09
"BM_batching_bplus_32/7",2032155,358.017,357.984,ns,,8.93894e+07,,,,1.1187e-08
"BM_batching_bplus_32/8",1752151,338.216,337.024,ns,,9.49489e+07,,,,1.0532e-08
"BM_batching_bplus_32/9",1959665,318.562,318.566,ns,,1.0045e+08,,,,9.95517e-09
"BM_batching_bplus_32/10",2125157,328.454,328.471,ns,,9.74211e+07,,,,1.02647e-08
"BM_batching_bplus_32/11",1968459,355.328,354.918,ns,,9.01618e+07,,,,1.10912e-08
"BM_batching_bplus_32/12",1860627,363.162,363.167,ns,,8.81137e+07,,,,1.1349e-08
"BM_batching_bplus_32/13",1934430,362.357,361.513,ns,,8.8517e+07,,,,1.12973e-08
"BM_batching_bplus_32/14",1943027,357.318,357.331,ns,,8.95527e+07,,,,1.11666e-08
"BM_batching_bplus_32/15",1657705,409.788,409.8,ns,,7.80869e+07,,,,1.28062e-08
"BM_batching_bplus_32/16",1709710,410.014,410.026,ns,,7.80438e+07,,,,1.28133e-08
